2026-04-01-source-recalc-spb-direct-квалы,2026-04-01,2026-04,1,источники,Директ,Квалы,0,24,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-direct-продажи,2026-04-01,2026-04,1,источники,Директ,Продажи,0,3,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-other-лиды,2026-04-01,2026-04,1,источники,Другие,Лиды,0,215,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-other-квалы,2026-04-01,2026-04,1,источники,Другие,Квалы,0,59,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-other-продажи,2026-04-01,2026-04,1,источники,Другие,Продажи,0,17,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-directvisits-лиды,2026-04-01,2026-04,1,источники,Прямые визиты,Лиды,0,3,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-directvisits-квалы,2026-04-01,2026-04,1,источники,Прямые визиты,Квалы,0,3,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-directvisits-продажи,2026-04-01,2026-04,1,источники,Прямые визиты,Продажи,0,1,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-cashback-лиды,2026-04-01,2026-04,1,источники,Рек/кешбэк,Лиды,0,9,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-cashback-квалы,2026-04-01,2026-04,1,источники,Рек/кешбэк,Квалы,0,7,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-cashback-продажи,2026-04-01,2026-04,1,источники,Рек/кешбэк,Продажи,0,5,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
2026-04-01-source-recalc-spb-yandexmaps-лиды,2026-04-01,2026-04,1,источники,Яндекс Карты,Лиды,0,50,0,Roistat report-24 апрель-июль: недельные суммы по воронке СПБ АШ [SOURCE_CITY=СПБ],2026-09-04T13:11:11,0,0
